gene_symbol,control_1,control_2,control_3
CRKL,27.69,30.31,35.46
CRYZ,45.51,27.72,22.76
CSK,110.18,61.82,95.24
CSNK1A1,26.86,18.9,48.73
CSNK1E,98.78,107.39,81.47
CSNK2A2,21.46,21.98,27.2
CSRP1,88.61,62.77,60.3
CTNND1,1573.13,919.5,1256.89
CTSD,154.49,177.22,288.46
CTSL,597.33,324.57,890.75
CYB561,316.97,430.82,512.95
DAG1,49.34,31.2,32.54
DAXX,117.9,120.67,105.61
DCK,122.83,90.24,105.62
DCTD,134.95,207.54,117.89
DDB2,16.89,13.37,23.74
GADD45A,35.48,29.89,43.64
DDX10,118.63,126.52,139.85
DECR1,59.38,35.64,33.9
DFFA,147.2,125.39,103.21
DFFB,36.26,56.41,70.08
DLD,93.34,165.21,59.85
DNM1,9.03,13.85,11.38
DNMT1,280.62,240.71,214.97
DNMT3A,15.56,29.97,18.17
DPH2,66.08,108.81,89.99
DSG2,280.92,262.56,226.62
TSC22D3,160.54,146.68,148.31
DUSP3,9.61,10.07,11.65
DUSP4,101.34,84.53,81.96
DUSP6,155.05,164.77,142.8
TOR1A,27.85,43.72,57.05
E2F2,40.02,50.78,38.32
ECH1,64.11,43.11,63.45
EDN1,30.45,33.69,38.99
EGF,59.88,51.29,53.14
EGFR,110.96,94.96,101.55
EGR1,107.44,142.16,204.98
EIF4EBP1,54.44,55.43,97.16
EIF4G1,76.0,94.52,74.72
EIF5,96.69,52.68,94.58
ELAVL1,656.5,459.82,671.13
CTTN,53.13,49.99,39.91
EPB41L2,66.9,67.75,76.32
EPHA3,297.99,214.78,290.2
EPHB2,363.79,227.0,322.91
EPRS,1255.17,678.86,613.96
NR2F6,1101.07,857.13,740.96
ERBB2,300.02,337.6,249.44
ERBB3,42.81,60.43,36.68
ETFB,229.34,245.57,134.0
ETS1,130.1,218.26,94.9
ETV1,48.1,64.54,47.86
EXT1,68.44,92.21,122.71
EZH2,99.82,101.86,127.01
FAH,745.72,809.76,498.27
PTK2B,77.1,90.21,112.9
FAT1,658.87,457.48,476.65
FDFT1,282.7,283.14,228.64
FGFR2,257.11,182.5,276.87
FGFR4,13.73,11.44,12.9
FHL2,41.4,58.59,45.23
FKBP4,61.02,61.63,58.21
FOXO3,73.92,125.48,82.52
FOS,145.82,213.02,243.38
FPGS,330.35,270.86,212.4
FUT1,69.87,62.53,46.88
FYN,234.64,273.59,314.84
SLC37A4,47.75,96.46,84.79
GAA,496.96,371.07,516.33
GABPB1,72.9,76.53,52.39
GALE,193.74,200.6,172.93
GAPDH,33.64,26.65,12.79
GATA2,799.95,885.07,788.84
GATA3,30.92,10.72,27.76
GFPT1,17.8,12.98,9.45
GHR,80.02,91.79,67.22
GLI2,201.77,166.7,205.37
GLRX,13.15,17.36,14.62
GNA11,128.03,151.98,108.89
GNA15,200.11,145.35,282.71
GNAI1,102.64,121.44,78.07
GNAI2,40.3,50.66,63.11
GNAS,28.46,27.58,49.31
SFN,31.14,33.25,26.62
GPC1,138.32,86.9,159.15
GPER1,31.99,44.41,35.58
GRB7,232.28,194.45,227.04
GRB10,26.16,12.5,23.23
GRN,40.35,28.28,33.58
NR3C1,26.39,30.62,28.47
CXCL2,200.79,202.55,244.74
GSTM2,169.39,176.3,154.11
GSTZ1,46.96,54.47,47.13
MSH6,79.45,66.43,73.25
GTF2A2,15.58,31.77,22.81
GTF2E2,7.04,12.0,13.35
HSD17B10,53.39,44.08,57.56
HADH,41.84,28.52,52.91
HDAC2,357.1,250.43,315.59
HIF1A,107.56,143.32,116.09
HK1,44.33,60.02,70.96
HLA-DMA,512.39,400.24,434.74
HLA-DRA,82.99,104.4,80.34
HMGCR,455.84,493.55,538.4
HMGCS1,49.68,58.6,48.2
HMOX1,772.68,446.58,650.08
HOXA5,99.98,114.2,102.93
HOXA10,36.02,73.47,56.91
HPRT1,205.57,227.77,342.42
HES1,229.11,173.58,108.1
DNAJB2,76.45,62.6,60.75
HSPA1A,13.59,7.74,7.4
HSPA4,22.07,15.8,13.19
HSPA8,325.85,226.01,392.22
HSPB1,167.75,154.02,130.6
HSPD1,268.28,194.72,188.79
DNAJB1,309.46,215.35,337.7
ICAM1,66.53,99.48,70.0
ICAM3,79.12,94.68,85.01
ID2,82.33,99.19,64.36
IDE,103.09,135.87,137.66
IFNAR1,24.45,30.97,32.31
IGF1R,1076.57,1415.29,1049.32
IGF2R,119.48,304.76,268.61
IGFBP3,11.75,10.12,10.37
IGHMBP2,48.74,74.36,57.88
IKBKB,8.67,7.91,12.36
IL1B,155.79,81.85,120.82
IL4R,181.92,152.33,133.35
IL13RA1,83.5,88.8,63.73
ILK,67.88,135.74,69.06
INPP1,665.37,532.02,259.46
INSIG1,134.55,107.72,112.72
ITGAE,123.87,89.02,120.19
ITGB5,68.05,32.74,71.35
JUN,191.08,137.98,215.84
KCNK1,141.82,109.3,143.78
KIF5C,24.74,22.53,25.39
KIT,111.98,115.55,96.66
KTN1,54.95,55.57,75.15
LAMA3,68.01,64.65,97.06
STMN1,64.83,82.02,75.78
LBR,92.28,96.54,81.06
LGALS8,316.16,349.27,303.97
LIG1,504.9,506.87,480.81
LIPA,37.27,34.18,40.86
LOXL1,210.05,196.7,415.9
LRPAP1,173.6,225.8,146.71
LYN,370.74,325.77,406.64
SMAD3,27.07,29.94,23.29
MAN2B1,576.16,414.9,352.59
MAT2A,69.25,110.22,93.36
MBNL1,607.04,708.72,288.22
MCM3,266.09,302.01,299.88
ME2,11.7,8.28,9.72
MEF2C,8.67,12.43,12.86
MAP3K4,198.59,357.83,280.42
MEST,493.28,380.77,631.98
MIF,17.12,9.61,12.1
FOXO4,23.6,23.83,24.36
MMP1,236.79,311.23,309.81
MMP2,84.64,151.79,150.01
MNAT1,58.75,32.94,62.69
MSRA,131.35,86.48,96.57
MUC1,127.94,117.76,172.12
MYBL2,72.59,80.23,60.77
MYC,360.99,695.84,504.87
GADD45B,120.56,76.24,90.16
MYLK,28.66,27.08,27.26
MYO10,87.71,83.26,56.48
NCK1,59.89,82.93,130.63
NFATC3,175.93,105.05,166.51
NFATC4,261.83,233.21,399.33
NFE2L2,203.46,152.79,177.62
NFIL3,40.43,64.32,39.96
NFKB2,223.12,242.94,144.86
NFKBIA,658.27,396.22,827.88
NFKBIB,350.39,356.77,396.37
NFKBIE,73.11,60.76,64.6
NIT1,59.61,96.82,86.17
NMT1,80.96,106.94,114.85
NOS3,123.0,133.5,182.06
CNOT4,26.67,29.34,37.26
NOTCH1,16.24,29.78,18.11
PNP,1046.83,701.46,639.68
NPC1,146.12,165.57,161.85
SLC11A2,116.2,171.42,207.18
NRAS,15.08,17.49,12.29
NUCB2,13.4,6.22,8.66
NUP88,17.45,23.69,25.39
NVL,28.93,36.95,28.36
ORC1,22.7,25.26,16.84
OXA1L,12.39,13.98,20.62
OXCT1,296.18,188.16,261.33
PAFAH1B1,38.31,48.44,30.93
PAFAH1B3,35.87,43.32,28.25
SERPINE1,261.26,420.93,249.57
PAK1,340.73,238.28,486.55
PCBD1,388.73,459.53,362.78
PCCB,382.42,343.31,384.11
PCK2,97.26,89.48,116.54
PCM1,50.64,36.59,49.84
PCMT1,11.67,10.8,10.69
PCNA,67.45,69.08,60.04
PDGFA,49.73,54.26,72.09
PFKL,74.23,61.98,59.74
PGAM1,230.58,273.28,190.6
PGM1,17.97,10.31,20.38
PHKA1,113.0,84.7,69.45
PHKB,262.69,302.22,308.63
PHKG2,36.26,19.84,23.36
PIK3C2B,143.9,105.93,210.18
PIK3C3,37.31,46.56,31.47
PIK3CA,965.95,1493.75,1036.95
PIN1,75.44,70.87,87.43
PLA2G4A,30.14,31.7,46.55
PLCB3,423.49,373.71,401.31
PLK1,148.29,108.38,85.99
PLP2,34.17,32.57,19.95
PLS1,33.94,24.18,42.29
PLSCR1,287.85,204.08,284.59
PMAIP1,24.02,23.59,29.89
PMM2,227.02,223.17,197.74
POLB,617.6,466.15,800.7
POLE2,89.62,55.96,58.1
POLR2I,209.31,183.25,137.8
POLR2K,347.46,367.56,411.75
PPARD,158.02,139.75,202.42
PPARG,299.58,335.76,224.09
PPIC,26.4,16.89,20.8
PPOX,36.7,27.67,31.53
PPP2R5A,136.46,71.8,114.45
PPP2R5E,525.82,656.25,580.04
PRCP,201.3,221.23,191.93
PRKACA,78.57,49.97,59.0
PRKCD,304.89,292.7,261.4
PRKCH,377.33,302.82,464.8
PRKCQ,57.74,67.47,76.04
MAPK9,214.06,247.01,350.4
MAPK13,116.1,159.58,103.49
MAP2K5,191.29,115.19,127.0
PRKX,38.58,84.79,63.46
PROS1,145.21,200.86,282.65
LGMN,31.61,19.67,34.15
HTRA1,175.69,189.35,218.95
PSMB8,119.45,117.58,137.27
PSMB10,29.11,25.18,24.93
PSMD2,56.71,43.03,42.36
PSMD4,135.86,122.78,113.47
PSMD9,98.23,106.85,67.38
PSMD10,15.0,10.1,11.5
PSME1,277.28,241.14,265.45
PSME2,52.28,66.89,66.97
PTGS2,13.51,15.88,12.82
PTK2,58.13,82.32,121.36
PTPN1,33.15,21.9,17.09
PTPN6,118.22,175.05,189.88
PTPN12,2.45,2.28,3.03
PTPRC,1039.14,953.58,1072.83
PTPRF,8.83,29.79,24.01
PTPRK,46.55,18.51,39.61
PXMP2,28.6,23.88,52.31
PXN,270.39,285.87,235.61
PYCR1,10.92,9.59,11.63
PYGL,316.37,420.61,308.75
RAB4A,2040.94,1815.14,2886.13
RAB27A,90.47,33.98,37.85
RAC2,76.7,110.16,77.44
RAD9A,421.96,454.98,638.45
RAD51C,310.05,247.12,241.53
MOK,172.64,192.22,385.61
RALA,73.71,105.72,157.44
RALB,170.84,121.39,218.71
RALGDS,305.51,404.23,448.16
RAP1GAP,78.14,66.08,89.22
RASA1,149.57,156.16,238.79
RB1,18.97,17.22,23.45
KDM5A,38.65,31.58,33.36
RELB,184.75,227.9,200.74
RFC2,36.07,37.43,43.7
RFC5,35.36,22.2,34.96
RFNG,38.18,33.3,52.09
RFX5,3.81,6.74,8.82
RGS2,40.55,32.5,47.57
RHEB,153.09,207.82,164.0
RNH1,256.67,228.33,404.98
RPA1,262.98,199.82,243.75
RPA2,221.61,254.09,167.24
RPA3,4.32,7.5,6.93
MRPL12,964.57,845.82,567.13
RPN1,72.92,93.62,64.04
RPS5,26.89,22.63,34.03
RPS6,15.59,24.26,25.39
RPS6KA1,102.25,121.31,98.51
RSU1,17.8,16.56,17.48
RTN2,16.81,25.18,13.28
S100A4,11.54,9.3,14.99
S100A13,30.39,21.72,24.96
SATB1,190.36,176.66,221.94
SCP2,131.27,132.58,133.67
CCL2,456.1,517.76,493.72
SDHB,357.26,461.56,494.38
SGCB,83.17,124.46,63.54
SHB,115.56,161.42,86.88
SHC1,189.33,147.76,126.61
SKIV2L,175.84,112.08,116.75
SKP1,490.49,588.6,359.06
SLC1A4,207.69,161.1,94.02
SMARCA4,87.1,148.62,190.9
SMARCC1,39.92,59.21,52.27
SMARCD2,14.29,10.45,29.19
SNAP25,335.05,463.24,474.92
SNCA,685.28,721.67,1000.46
SOX2,389.62,557.8,558.33
SOX4,296.6,441.84,365.83
SPAG4,315.45,327.1,629.67
SPP1,29.72,27.11,20.51
SPR,283.88,416.58,298.16
SPTAN1,76.65,56.27,69.0
SRC,452.24,311.87,244.92
STAT1,63.87,81.79,48.19
STAT3,32.71,22.88,31.09
STAT5B,178.4,94.59,136.38
AURKA,314.18,334.4,421.45
STK10,52.33,54.97,39.38
STX1A,71.63,56.69,39.21
STX4,70.06,63.18,56.22
STXBP1,263.69,222.73,238.25
STXBP2,101.24,152.52,134.26
SUPV3L1,498.25,686.93,620.07
SUV39H1,42.14,45.42,42.09
SYK,33.32,23.29,30.47
SYPL1,83.64,101.51,59.38
TARBP1,302.15,225.41,191.68
TBP,126.05,90.07,76.89
TBX2,2561.25,1241.82,2025.56
TBXA2R,182.71,128.48,149.85
TCEA2,41.99,47.84,37.22
VPS72,68.77,94.82,78.49
TCTA,307.08,205.33,200.72
DYNLT3,29.97,24.06,17.75
TERT,533.54,391.93,493.51
TESK1,37.06,54.25,62.64
TFAP2A,1078.26,660.47,894.65
TFDP1,127.01,158.68,130.11
TGFB3,71.71,57.72,73.47
TGFBR2,121.3,90.85,94.22
TIAM1,105.74,84.17,104.02
TIMP2,8.23,11.46,9.3
TJP1,41.79,36.05,29.37
TLE1,172.21,354.63,111.38
TLR4,24.63,21.72,18.17
TSPAN6,209.88,225.47,244.56
TSPAN4,132.28,163.65,189.53
TOP2A,52.7,27.36,33.81
TP53,18.75,18.25,19.97
TP53BP1,84.56,45.94,71.0
TP53BP2,17.91,18.99,14.29
TPD52L2,50.8,62.77,57.16
TPM1,66.86,94.26,84.35
TSTA3,48.34,44.1,50.6
TXNRD1,12.35,7.11,13.14
UBE2A,73.04,126.19,79.95
UGDH,18.43,18.57,15.51
NR1H2,82.76,61.45,53.28
USP1,48.36,45.7,62.36
VDAC1,164.44,175.16,76.09
WFS1,19.03,20.78,26.99
WRB,57.56,47.93,42.42
XBP1,180.95,228.04,251.58
XPNPEP1,762.07,731.93,604.15
ZFP36,398.34,278.86,306.09
ZNF131,481.32,640.73,979.1
ZMYM2,14.57,19.7,27.15
PAX8,21.53,30.13,22.7
CXCR4,107.88,105.98,133.97
IFRD2,120.54,203.71,175.18
MAPKAPK3,62.73,86.04,63.67
USP7,15.17,18.95,12.46
REEP5,95.93,75.76,113.47
ST7,85.88,53.89,54.35
KAT6A,14.36,22.63,23.92
PDHX,74.48,55.75,55.41
FOSL1,30.53,19.61,23.19
HMGA2,84.61,88.11,73.91
NCOA3,55.56,39.85,34.09
NRIP1,13.34,11.7,10.03
SMC1A,71.98,58.09,68.32
LAGE3,281.52,224.15,210.08
AXIN1,58.91,50.65,46.57
CDC45,203.41,275.58,365.42
FZD1,296.01,256.11,368.76
FZD7,26.82,27.51,25.59
HIST2H2BE,262.56,161.7,123.02
PIP4K2B,330.72,297.46,278.79
NCK2,60.43,108.19,65.75
DYRK3,627.58,486.03,623.67
DUSP11,44.74,87.61,72.28
RAE1,38.48,61.46,54.69
PIK3R3,236.41,167.83,129.97
NIPSNAP1,284.45,223.65,339.02
ELP1,380.4,431.18,325.43
HAT1,113.16,148.98,153.41
MAPKAPK5,158.49,94.11,107.68
BHLHE40,68.68,35.5,69.11
MKNK1,47.72,40.59,28.48
CASK,80.59,125.07,86.56
AKR7A2,65.97,58.68,129.1
RUVBL1,35.26,36.08,29.61
PSMG1,55.03,66.71,51.33
BECN1,18.92,20.51,20.43
MBTPS1,18.68,19.08,14.95
EED,30.17,44.41,39.76
CTNNAL1,31.89,26.7,31.48
RNMT,89.0,51.17,136.87
PEX11A,4.81,6.21,3.78
CREG1,169.07,201.79,169.96
INPP4B,17.34,13.8,15.22
IQGAP1,35.9,42.42,37.97
SOCS2,317.21,524.09,437.13
CFLAR,211.31,261.38,238.25
CDK5R1,104.83,67.07,151.37
ST3GAL5,377.11,257.46,225.45
IER3,397.06,505.77,510.35
SQSTM1,337.95,290.92,286.11
SLC5A6,540.95,630.87,577.51
CPNE3,377.05,289.68,256.73
CCNA1,70.75,54.06,50.32
TIMELESS,771.1,682.91,851.17
P4HA2,11.23,13.77,11.32
PLOD3,311.85,180.69,152.43
NOL3,11.35,13.12,10.77
SLC25A14,12.23,11.87,7.46
MPZL1,311.96,399.58,385.22
MAP7,81.65,70.14,90.26
DNAJA3,156.1,112.23,103.29
USP14,48.64,51.63,69.06
MTA1,525.7,275.85,526.49
PDLIM1,72.71,47.14,56.97
SMC3,51.53,51.13,40.51
PRPF4,1185.35,1693.88,1418.17
CCNB2,316.59,360.1,223.6
CCNE2,31.78,37.5,46.24
SYNGR3,277.82,492.4,306.03
LPAR2,10.76,7.43,9.6
ARHGEF2,282.17,587.69,278.79
ZW10,118.77,173.38,188.84
AURKB,868.11,882.55,661.78
VAPB,15.36,17.51,14.83
NOLC1,79.89,57.6,53.62
UBE2L6,216.08,225.77,200.38
MAPKAPK2,117.77,119.21,133.33
CYTH1,173.54,104.38,145.51
ITGB1BP1,437.9,376.12,363.02
BCL7B,44.18,49.39,51.45
COPB2,36.24,77.66,38.6
ADGRG1,56.12,61.67,102.13
TM9SF2,14.9,26.4,18.14
MAP4K4,31.71,31.83,37.48
HOMER2,134.06,135.92,125.09
SH3BP5,98.87,85.81,81.96
PIGB,106.38,96.92,107.62
PSMF1,162.42,161.98,202.08
SPTLC2,57.94,78.5,47.53
TBPL1,85.91,83.34,91.56
BAG3,39.94,42.08,42.5
POLR1C,176.33,224.05,267.56
SPAG7,27.58,20.66,37.04
FEZ2,193.14,271.49,176.87
IKBKE,54.86,52.18,28.92
MTFR1,27.44,23.87,39.43
HS2ST1,119.67,133.11,139.06
IPO13,121.6,55.75,79.23
VGLL4,57.73,65.47,38.83
NUP93,12.87,15.9,12.91
UBE3C,255.41,191.15,140.8
EDEM1,87.97,82.5,57.66
TRAM2,461.21,444.28,783.44
CEP57,1433.91,1711.48,1322.58
KIAA0100,16.21,14.5,20.82
HERPUD1,75.67,76.58,112.41
KIAA0355,240.31,306.87,279.61
USP6NL,89.56,53.92,88.4
CCP110,47.79,32.9,31.95
MLEC,4.63,3.3,5.6
TATDN2,15.53,25.87,12.0
MRPL19,57.7,43.16,27.43
SCRN1,36.79,41.71,25.62
EFCAB14,272.19,220.77,274.5
KEAP1,372.91,272.35,337.82
MELK,62.9,78.21,80.61
PLEKHM1,230.95,154.37,167.05
C2CD5,11.27,14.99,13.15
KIAA0753,191.35,229.12,347.4
C2CD2L,178.07,156.97,203.74
TOMM70,203.59,211.58,157.64
WASHC5,89.62,149.79,118.77
KLHL21,21.96,22.65,16.5
ARNT2,218.65,159.21,145.4
FAM20B,96.97,68.14,81.88
NCAPD2,58.88,72.65,53.82
PAN2,31.52,49.05,36.08
LPGAT1,117.97,191.28,118.61
KIF14,30.84,30.26,25.19
OXSR1,46.44,26.7,40.09
MVP,176.26,343.78,262.1
DMTF1,40.94,37.27,24.92
GNPDA1,41.91,47.78,58.45
HDAC6,45.05,32.64,27.74
PARP2,521.36,419.06,575.26
MAMLD1,5.82,7.07,12.06
DNAJB6,30.02,28.3,48.02
SMC4,49.46,62.81,46.9
ABCC5,15.63,20.95,19.98
ABCB6,205.13,142.29,172.74
DNM1L,50.28,62.52,63.36
TSPAN3,83.69,56.36,77.32
KIF20A,306.83,248.15,440.41
ARL4C,42.18,34.62,41.33
TRAP1,262.07,296.16,184.08
G3BP1,96.03,191.2,196.29
MBNL2,33.47,21.98,32.4
CEBPZ,109.24,133.78,221.35
SLC25A13,38.93,32.29,24.86
SORBS3,43.93,78.14,59.66
RBM6,29.26,25.83,42.1
TXNDC9,346.13,244.19,352.28
TRIM13,144.56,128.61,119.78
TRIB1,86.53,61.8,49.1
MFSD10,109.9,160.9,265.44
SLC35B1,11.49,12.04,9.66
TIMM17B,33.46,56.72,30.25
AKAP8,253.51,245.8,178.67
STUB1,224.67,155.83,205.46
NET1,114.38,114.24,60.03
SMNDC1,54.12,34.52,56.72
PAK4,48.94,54.51,48.43
TNIP1,38.92,34.4,44.44
IKZF1,389.5,409.98,301.28
RXYLT1,1111.92,1423.77,1390.25
HMG20B,174.22,221.96,170.44
MYL9,287.73,198.33,299.35
LYPLA1,49.71,31.89,37.03
PPIE,86.75,158.79,166.44
VAV3,16.34,24.19,25.89
LRRC41,196.54,308.36,246.7
CRTAP,52.38,41.83,42.6
VAT1,310.79,197.01,219.79
STK25,33.87,60.17,62.7
APPBP2,408.91,328.97,363.82
CHERP,237.85,488.26,426.29
HYOU1,165.0,203.88,261.0
RPP38,137.83,85.64,144.06
SLC35A1,227.77,208.56,131.61
DRAP1,64.98,69.98,50.67
PAICS,407.3,396.01,328.14
ST6GALNAC2,160.1,107.72,139.0
STAMBP,89.83,78.13,158.28
NPRL2,489.95,458.27,506.9
IGF2BP2,67.41,71.76,79.84
YKT6,199.16,158.57,137.29
CGRRF1,91.7,133.41,126.41
RRAGA,80.3,124.31,82.53
GNB5,32.63,23.95,32.49
EBP,978.26,834.52,835.91
CNPY3,136.93,195.24,107.66
YME1L1,37.43,69.83,70.87
TCFL5,572.33,482.55,765.97
KDM5B,95.93,84.67,85.3
POP4,41.96,39.96,30.92
ARPP19,3.79,3.68,2.45
ZNF274,91.64,91.62,112.34
MTHFD2,81.12,44.21,41.43
WASF3,419.73,316.21,314.21
UTP14A,129.62,104.71,132.12
FRS2,47.52,49.98,44.76
CLPX,9.69,12.34,7.57
PGRMC1,68.31,113.38,150.54
MALT1,125.48,180.82,173.59
CPSF4,47.61,47.36,44.24
BLCAP,10.65,12.85,10.1
TCERG1,1057.8,1346.74,1281.18
RNPS1,260.27,452.6,362.77
TOMM34,18.46,25.45,19.04
PDIA5,195.01,202.93,167.25
MLLT11,28.07,22.6,29.61
EBNA1BP2,457.82,380.02,419.36
TMED10,203.06,247.5,126.56
ASCC3,37.27,34.4,33.65
SLC27A3,197.69,343.28,244.75
KIF2C,192.75,297.95,341.85
CCDC85B,68.83,75.84,61.2
TLK2,1148.43,646.54,931.51
KDELR2,211.93,160.84,260.1
RAB31,207.57,331.51,222.36
B4GAT1,19.56,19.9,19.59
TENT4A,167.77,146.33,175.2
UBE2C,49.06,53.28,44.61
DUSP14,158.26,165.22,114.51
TOPBP1,132.18,151.01,145.27
PRSS23,437.57,535.44,657.49
PWP1,262.03,305.78,245.9
PKIG,40.09,29.35,31.79
CORO1A,138.14,70.08,104.34
LSM6,7.2,7.9,9.48
PSIP1,764.95,504.77,955.77
SLC2A6,45.35,45.62,46.46
NISCH,16.36,27.73,24.29
CHEK2,373.08,569.25,560.3
PRAF2,266.86,194.26,237.98
POLG2,69.82,55.38,40.0
CHP1,296.02,180.41,245.15
PNKP,167.91,277.27,271.02
ECD,93.46,73.19,89.8
DDX42,63.32,44.39,73.33
TWF2,57.37,57.21,80.17
CASC3,48.01,46.58,55.11
COG2,56.5,102.71,97.19
ATF5,26.49,26.47,37.03
MTF2,150.88,257.27,228.62
PUF60,90.7,104.6,56.19
RAB11FIP2,317.08,448.18,266.56
CLSTN1,247.99,216.05,282.54
FOXJ3,275.95,257.04,299.02
KHDC4,242.08,168.6,199.96
EPN2,49.73,41.36,43.67
SACM1L,637.81,721.07,962.56
ATF6,45.45,129.18,74.1
RPIA,782.74,432.77,381.38
RAB21,12.37,10.81,18.31
SPEN,38.64,69.0,61.04
FBXO21,178.47,135.88,168.89
RBM34,2254.45,2758.51,1512.84
WDTC1,263.82,232.9,208.59
XPO7,48.24,67.58,38.52
TBC1D9B,72.03,77.64,53.54
RRP1B,51.7,97.58,74.22
MYCBP2,250.27,365.22,371.75
CDK19,57.04,52.71,56.17
GPATCH8,34.82,36.27,37.03
MAST2,314.08,209.31,224.0
DCUN1D4,24.31,31.75,36.2
FCHO1,15.14,17.51,23.27
SNX13,108.57,104.2,111.06
ATP11B,62.35,70.2,50.38
JMJD6,19.15,21.51,13.79
RRS1,290.83,319.67,327.03
RRP12,242.05,256.59,241.02
SYNE2,15.37,25.46,29.89
PDS5A,110.37,147.5,139.74
CAMSAP2,53.23,44.88,76.58
ATMIN,66.15,50.2,66.29
TRIM2,206.72,248.21,261.42
WASHC4,30.38,24.12,26.96
USP22,73.17,111.94,108.99
WDR7,66.23,34.33,72.59
JADE2,40.64,57.04,54.98
ARHGEF12,105.17,181.09,88.66
PPP1R13B,40.42,37.23,31.6
RRP8,81.66,105.11,78.44
NUDCD3,185.89,109.49,152.2
SIRT3,41.89,98.71,68.92
SLC35A3,58.09,84.98,61.64
ICMT,361.2,508.53,472.55
MACF1,129.11,161.18,95.27
SUZ12,179.11,121.9,118.27
KAT6B,362.54,217.75,215.32
NNT,79.81,59.11,68.17
ADAT1,141.96,240.53,387.21
TMEM50A,274.37,365.09,259.98
KLHDC2,50.84,41.67,51.55
ACOT9,33.17,39.91,33.54
SSBP2,184.44,221.06,168.84
NUP62,9.91,10.95,9.63
ARFIP2,17.62,15.9,16.71
LSM5,88.76,68.03,84.26
PLA2G15,89.77,102.8,97.72
CEMIP2,95.22,144.04,122.5
ZNF318,11.64,10.46,15.31
FBXO7,55.56,46.1,55.75
SPDEF,17.6,16.47,19.27
BAMBI,34.58,37.87,36.54
BACE2,70.17,56.85,64.93
COG4,6.56,9.65,11.33
MPC2,81.6,56.57,71.79
CLIC4,148.67,139.31,216.09
C2CD2,224.13,209.32,413.91
TIPARP,196.65,273.19,224.36
TSKU,69.66,80.32,57.47
