gene_symbol,treated_1,treated_2,treated_3
ADGRE5,24.83,21.98,24.31
CDK1,26.82,18.91,34.53
CDC20,899.76,535.54,478.91
CDC25A,181.59,206.84,208.78
CDC25B,62.44,72.95,60.94
CDC42,13.91,12.09,16.83
CDH3,1000.37,2769.66,1856.38
CDK2,258.98,190.41,258.44
CDK4,13.39,14.23,11.17
CDK6,23.97,13.27,24.09
CDK7,31.68,21.09,31.85
CDKN1A,50.36,95.3,159.14
CDKN1B,78.14,148.56,92.62
CDKN2A,52.2,40.64,53.28
CEBPA,48.87,28.75,60.08
CEBPD,24.89,34.53,25.46
CENPE,35.29,50.76,38.31
CETN3,16.69,24.97,22.28
CHEK1,41.93,44.87,35.66
CHN1,444.13,581.39,404.34
CIRBP,440.97,297.13,275.37
CLTB,688.57,941.52,535.23
CLTC,4.78,5.05,4.97
COL1A1,8.34,11.29,12.97
COL4A1,50.99,37.46,59.99
CREB1,495.96,524.76,375.78
CRK,39.85,33.57,36.94
CRKL,92.21,71.01,91.34
CRYZ,7.86,5.01,4.21
CSK,80.0,118.71,110.27
CSNK1A1,7.8,14.07,6.53
CSNK1E,162.49,131.17,167.01
CSNK2A2,49.02,70.89,63.03
CSRP1,50.81,23.69,38.43
CTNND1,2319.65,2347.19,4870.24
CTSD,454.91,410.59,220.15
CTSL,181.54,129.45,221.69
CYB561,400.33,250.67,221.06
DAG1,28.85,30.82,33.34
DAXX,1097.87,1200.14,1121.22
DCK,58.79,46.44,47.47
DCTD,62.03,67.27,48.99
DDB2,5.62,4.56,6.51
GADD45A,61.78,121.46,77.56
DDX10,143.55,122.8,98.11
DECR1,34.52,13.69,38.84
DFFA,308.38,154.65,199.7
DFFB,73.77,93.36,77.36
DLD,14.28,15.24,13.33
DNM1,14.17,16.19,13.51
DNMT1,402.55,219.66,184.98
DNMT3A,53.72,78.61,45.84
DPH2,117.42,130.72,163.8
DSG2,166.65,144.78,117.09
TSC22D3,83.22,99.75,110.8
DUSP3,12.51,13.87,10.4
DUSP4,78.17,75.54,121.68
DUSP6,59.68,87.32,52.77
TOR1A,21.35,9.09,11.26
E2F2,333.9,192.12,209.88
ECH1,118.76,166.6,179.85
EDN1,72.02,75.37,67.64
EGF,188.77,161.86,233.94
EGFR,43.28,33.02,46.71
EGR1,101.81,119.45,86.87
EIF4EBP1,36.5,25.02,47.81
EIF4G1,35.16,62.12,34.18
EIF5,38.99,26.95,29.77
ELAVL1,1446.72,1378.03,1402.61
CTTN,12.56,15.22,19.4
EPB41L2,3.82,3.18,4.9
EPHA3,290.33,397.58,277.79
EPHB2,64.53,96.9,40.93
EPRS,110.35,142.48,120.77
NR2F6,2946.23,3504.69,2963.51
ERBB2,126.0,127.56,133.93
ERBB3,166.8,122.95,139.81
ETFB,158.31,152.53,304.37
ETS1,68.03,47.94,76.34
ETV1,31.91,31.94,28.96
EXT1,223.6,120.24,169.37
EZH2,22.84,23.99,26.5
FAH,1460.69,1023.1,1632.5
PTK2B,335.36,321.86,242.09
FAT1,1954.24,2213.76,1974.01
FDFT1,162.99,159.18,117.72
FGFR2,912.43,465.37,513.42
FGFR4,368.71,503.13,327.19
FHL2,9.76,8.94,6.02
FKBP4,43.91,49.59,83.25
FOXO3,47.63,45.51,48.44
FOS,177.62,222.53,224.02
FPGS,254.41,291.34,391.09
FUT1,224.39,255.17,202.84
FYN,133.44,83.96,140.09
SLC37A4,148.8,152.39,144.85
GAA,339.0,207.56,182.07
GABPB1,22.88,40.34,36.17
GALE,115.94,85.83,111.51
GAPDH,6.81,13.95,8.83
GATA2,2882.68,5702.87,3932.14
GATA3,27.81,20.04,24.13
GFPT1,9.15,8.74,9.97
GHR,709.1,1161.41,1069.92
GLI2,685.04,704.06,563.45
GLRX,3.76,5.26,2.73
GNA11,84.83,102.46,101.95
GNA15,467.52,963.31,626.27
GNAI1,41.99,39.59,53.68
GNAI2,27.25,30.36,27.68
GNAS,5.97,7.35,4.31
SFN,50.39,56.6,61.41
GPC1,236.34,227.16,255.61
GPER1,286.4,243.82,254.22
GRB7,537.89,705.71,405.63
GRB10,8.44,8.08,6.0
GRN,45.07,32.61,27.25
NR3C1,13.61,8.68,18.59
CXCL2,93.95,84.98,44.2
GSTM2,208.23,228.06,178.08
GSTZ1,75.17,69.75,93.4
MSH6,16.45,15.38,14.71
GTF2A2,16.58,18.58,30.41
GTF2E2,1.81,2.25,2.2
HSD17B10,51.18,48.71,51.04
HADH,38.24,48.83,46.22
HDAC2,122.28,141.79,168.88
HIF1A,64.81,99.42,91.97
HK1,22.61,26.63,26.58
HLA-DMA,332.51,434.23,278.03
HLA-DRA,168.39,164.79,272.04
HMGCR,531.69,507.72,660.59
HMGCS1,7.92,14.49,13.24
HMOX1,1223.15,820.96,1004.16
HOXA5,83.21,51.23,53.44
HOXA10,29.49,27.96,19.9
HPRT1,106.82,48.59,56.96
HES1,95.69,88.58,112.75
DNAJB2,91.01,176.99,101.58
HSPA1A,9.48,8.51,10.04
HSPA4,33.82,41.82,82.31
HSPA8,365.22,324.06,360.3
HSPB1,335.84,227.12,153.73
HSPD1,33.04,22.62,38.82
DNAJB1,335.22,399.97,414.86
ICAM1,43.03,58.88,68.19
ICAM3,63.2,98.13,72.32
ID2,160.69,94.26,126.94
IDE,108.24,95.95,39.92
IFNAR1,34.87,30.5,29.13
IGF1R,853.82,1049.56,1383.54
IGF2R,175.39,190.57,278.28
IGFBP3,8.03,9.52,14.35
IGHMBP2,317.61,219.22,391.23
IKBKB,33.01,36.01,46.37
IL1B,128.06,93.48,77.35
IL4R,434.09,606.95,568.02
IL13RA1,167.24,134.97,147.32
ILK,38.53,45.13,72.34
INPP1,2048.31,2611.2,1694.42
INSIG1,42.5,39.2,41.53
ITGAE,223.27,207.55,104.96
ITGB5,17.31,13.22,14.68
JUN,269.9,305.1,211.62
KCNK1,100.13,105.01,121.66
KIF5C,8.82,10.78,11.9
KIT,115.17,83.34,121.94
KTN1,148.17,102.39,108.44
LAMA3,52.16,80.09,46.95
STMN1,80.73,75.82,57.33
LBR,32.45,31.32,23.11
LGALS8,356.2,349.4,202.63
LIG1,170.93,169.84,187.89
LIPA,12.89,15.32,15.13
LOXL1,131.25,235.28,177.02
LRPAP1,120.77,105.25,124.18
LYN,1021.43,1222.0,1261.35
SMAD3,7.8,13.96,18.73
MAN2B1,1300.02,955.91,869.44
MAT2A,107.08,103.73,114.49
MBNL1,184.12,204.56,290.26
MCM3,230.38,163.6,166.75
ME2,16.39,6.67,9.04
MEF2C,9.38,15.15,11.65
MAP3K4,137.02,87.2,137.84
MEST,1662.18,892.36,1518.1
MIF,6.4,4.96,4.58
FOXO4,43.75,43.03,73.52
MMP1,5.05,4.48,8.01
MMP2,172.55,123.59,130.69
MNAT1,26.23,19.46,21.37
MSRA,115.15,147.63,114.24
MUC1,641.96,1003.43,841.98
MYBL2,148.7,334.97,265.37
MYC,180.84,121.74,147.86
GADD45B,116.22,121.5,122.57
MYLK,17.37,14.41,14.22
MYO10,73.38,131.04,137.56
NCK1,116.85,81.1,62.4
NFATC3,1479.7,1257.22,1342.59
NFATC4,882.04,910.34,1131.85
NFE2L2,141.52,139.7,154.29
NFIL3,53.18,43.22,52.23
NFKB2,353.46,399.53,471.95
NFKBIA,142.86,100.72,149.61
NFKBIB,2179.01,2236.4,2529.47
NFKBIE,242.29,260.98,240.44
NIT1,165.37,196.8,172.54
NMT1,218.72,352.12,523.99
NOS3,291.95,260.05,392.3
CNOT4,54.82,66.96,41.16
NOTCH1,62.07,79.13,75.38
PNP,566.89,524.34,540.21
NPC1,75.99,116.76,114.83
SLC11A2,116.29,132.74,152.67
NRAS,20.02,22.21,27.49
NUCB2,2.82,2.87,2.72
NUP88,10.63,5.41,5.05
NVL,40.34,48.24,40.25
ORC1,30.98,42.29,47.02
OXA1L,6.35,5.04,4.38
OXCT1,166.54,179.17,145.96
PAFAH1B1,317.21,302.19,273.24
PAFAH1B3,34.73,40.62,33.84
SERPINE1,112.92,47.48,70.95
PAK1,263.35,149.43,263.07
PCBD1,89.6,95.52,121.23
PCCB,171.21,138.0,174.73
PCK2,65.3,94.48,91.31
PCM1,18.67,26.67,13.02
PCMT1,1.84,1.03,1.69
PCNA,30.29,30.59,28.35
PDGFA,35.74,43.42,39.39
PFKL,124.73,120.37,114.61
PGAM1,43.61,24.23,29.35
PGM1,3.41,5.48,2.19
PHKA1,101.92,80.78,111.89
PHKB,155.68,192.6,108.81
PHKG2,159.65,142.15,119.45
PIK3C2B,290.16,146.2,166.99
PIK3C3,13.52,13.91,19.44
PIK3CA,6767.03,4682.97,8368.7
PIN1,94.29,116.36,64.77
PLA2G4A,68.97,78.99,72.9
PLCB3,357.07,281.59,223.83
PLK1,68.37,137.16,128.06
PLP2,42.34,48.67,48.93
PLS1,19.18,25.9,17.16
PLSCR1,79.5,57.33,39.52
PMAIP1,25.76,34.77,17.38
PMM2,351.1,211.59,429.45
POLB,206.99,170.33,196.68
POLE2,55.76,66.11,49.92
POLR2I,119.0,118.4,119.98
POLR2K,748.09,470.68,753.8
PPARD,430.84,349.78,276.55
PPARG,85.17,113.58,67.58
PPIC,14.39,14.39,11.63
PPOX,154.2,175.99,156.79
PPP2R5A,55.87,108.04,72.13
PPP2R5E,307.64,225.43,260.21
PRCP,106.41,171.94,186.36
PRKACA,135.74,154.17,145.57
PRKCD,1280.91,523.14,764.97
PRKCH,645.87,585.35,452.78
PRKCQ,93.86,124.14,140.05
MAPK9,314.58,236.33,380.56
MAPK13,87.6,124.92,116.24
MAP2K5,205.03,243.7,169.02
PRKX,156.14,194.8,114.48
PROS1,163.67,76.36,84.11
LGMN,42.25,41.9,73.8
HTRA1,265.07,377.71,285.44
PSMB8,55.95,27.96,35.72
PSMB10,46.43,32.44,29.17
PSMD2,91.79,53.83,79.45
PSMD4,37.37,42.85,33.66
PSMD9,169.55,270.53,202.65
PSMD10,2.92,2.73,3.88
PSME1,65.4,77.13,73.1
PSME2,24.69,24.84,23.16
PTGS2,15.52,29.72,25.92
PTK2,139.95,126.42,256.54
PTPN1,53.05,32.1,28.87
PTPN6,296.83,312.83,201.56
PTPN12,0.35,0.62,0.64
PTPRC,1901.54,2753.22,1954.41
PTPRF,54.93,51.41,54.92
PTPRK,63.64,66.37,74.49
PXMP2,20.09,16.58,15.88
PXN,1020.83,665.97,1269.54
PYCR1,9.36,7.75,4.95
PYGL,211.19,197.92,245.85
RAB4A,1534.4,1117.27,2035.81
RAB27A,50.35,37.98,24.95
RAC2,77.54,121.06,115.38
RAD9A,2747.83,6706.43,2554.38
RAD51C,2450.83,2672.42,2662.24
MOK,317.62,522.39,322.98
RALA,27.29,30.11,43.52
RALB,71.76,73.94,80.2
RALGDS,357.49,316.68,427.93
RAP1GAP,91.74,51.12,102.01
RASA1,36.77,46.7,35.64
RB1,15.15,12.36,15.6
KDM5A,24.41,26.94,28.94
RELB,250.43,207.43,271.98
RFC2,45.89,27.42,36.04
RFC5,23.41,36.44,38.81
RFNG,48.33,68.12,49.84
RFX5,2.58,4.2,3.37
RGS2,17.89,23.48,22.83
RHEB,61.51,38.26,41.59
RNH1,336.56,773.21,678.55
RPA1,74.03,66.44,83.64
RPA2,681.3,638.77,437.35
RPA3,2.86,2.41,2.06
MRPL12,362.58,356.24,436.65
RPN1,14.91,14.27,11.66
RPS5,14.74,13.47,13.75
RPS6,12.44,13.93,15.17
RPS6KA1,52.61,67.15,47.65
RSU1,19.57,13.22,13.33
RTN2,22.8,33.3,32.53
S100A4,3.79,6.38,4.31
S100A13,28.16,23.08,24.94
SATB1,301.73,223.31,496.28
SCP2,426.19,448.62,281.57
CCL2,146.16,225.94,352.04
SDHB,96.39,92.43,92.23
SGCB,23.05,15.69,16.28
SHB,233.37,337.75,228.89
SHC1,519.65,435.47,500.67
SKIV2L,697.22,643.5,536.57
SKP1,378.92,289.06,224.7
SLC1A4,86.15,81.93,47.94
SMARCA4,123.78,81.72,81.7
SMARCC1,17.48,14.64,18.61
SMARCD2,55.49,69.59,49.18
SNAP25,1513.89,974.3,653.41
SNCA,1444.31,1539.97,2954.53
SOX2,782.27,870.7,837.0
SOX4,218.88,96.17,182.07
SPAG4,383.22,213.45,512.24
SPP1,4.27,5.6,4.6
SPR,787.77,266.75,637.2
SPTAN1,31.1,25.56,17.91
SRC,139.38,225.39,115.81
STAT1,14.76,24.58,16.85
STAT3,24.78,24.23,31.23
STAT5B,88.98,92.33,95.04
AURKA,183.67,141.35,133.43
STK10,268.29,298.86,220.1
STX1A,88.13,101.05,121.55
STX4,156.39,226.33,223.81
STXBP1,158.15,243.83,245.81
STXBP2,508.73,585.26,699.71
SUPV3L1,1859.2,978.98,1079.25
SUV39H1,12.66,18.94,7.96
SYK,24.33,24.93,36.32
SYPL1,296.78,261.0,244.13
TARBP1,178.42,187.73,132.04
TBP,31.21,34.07,48.9
TBX2,3753.87,4024.11,2206.6
TBXA2R,494.45,561.21,405.6
TCEA2,124.47,93.89,132.2
VPS72,184.85,124.81,255.02
TCTA,420.17,561.85,677.7
DYNLT3,15.09,4.99,7.36
TERT,1172.46,835.84,813.49
TESK1,68.06,86.49,73.42
TFAP2A,1442.66,3712.06,2147.29
TFDP1,54.47,68.58,48.74
TGFB3,307.7,220.04,362.35
TGFBR2,36.66,44.01,28.87
TIAM1,96.48,82.18,142.2
TIMP2,17.12,19.9,18.39
TJP1,51.33,65.22,35.2
TLE1,31.06,30.94,27.82
TLR4,56.96,47.82,68.49
TSPAN6,152.06,183.71,116.19
TSPAN4,167.31,193.17,192.95
TOP2A,5.63,7.42,6.17
TP53,15.06,18.03,13.35
TP53BP1,21.81,10.35,18.8
TP53BP2,50.16,52.33,26.76
TPD52L2,114.27,136.65,109.58
TPM1,13.27,14.57,13.22
TSTA3,55.96,48.24,60.19
TXNRD1,1.28,1.0,1.17
UBE2A,72.19,73.6,70.25
UGDH,24.43,26.85,16.02
NR1H2,171.12,274.78,199.35
USP1,22.01,15.24,20.85
VDAC1,3.05,2.57,2.97
WFS1,59.82,45.07,69.78
WRB,35.6,26.47,35.98
XBP1,15.39,13.75,22.04
XPNPEP1,261.08,168.24,227.05
ZFP36,757.96,626.94,461.13
ZNF131,177.13,185.51,165.04
ZMYM2,4.01,2.47,3.18
PAX8,38.38,34.48,32.79
CXCR4,206.48,160.2,160.17
IFRD2,130.04,111.54,124.59
MAPKAPK3,125.63,102.17,97.42
USP7,11.94,12.11,10.24
REEP5,33.21,34.8,38.33
ST7,38.11,33.71,40.84
KAT6A,7.56,9.24,10.08
PDHX,13.07,13.51,22.07
FOSL1,11.62,7.69,8.74
HMGA2,33.77,43.0,24.52
NCOA3,11.84,12.72,16.01
NRIP1,3.65,3.03,4.45
SMC1A,63.7,53.98,61.3
LAGE3,342.53,318.01,196.59
AXIN1,63.23,61.73,56.91
CDC45,964.44,749.08,824.49
FZD1,488.16,446.42,303.55
FZD7,11.58,12.26,23.76
HIST2H2BE,631.37,411.43,305.11
PIP4K2B,129.1,210.0,246.45
NCK2,21.26,16.2,12.77
DYRK3,2420.11,1762.24,2383.44
DUSP11,162.07,170.42,242.1
RAE1,19.42,16.55,12.95
PIK3R3,235.07,276.96,205.48
NIPSNAP1,35.8,44.8,51.68
ELP1,239.1,259.56,254.19
HAT1,36.58,87.38,25.36
MAPKAPK5,522.37,614.92,638.03
BHLHE40,34.36,36.34,35.35
MKNK1,69.18,66.01,96.49
CASK,32.64,30.24,24.09
AKR7A2,34.72,21.25,30.87
RUVBL1,29.62,29.41,34.35
PSMG1,17.61,18.94,22.26
BECN1,12.37,14.97,12.63
MBTPS1,202.16,265.84,241.79
EED,58.52,52.67,71.21
CTNNAL1,11.14,15.19,14.58
RNMT,34.41,28.35,40.07
PEX11A,29.76,15.25,15.64
CREG1,146.67,87.04,182.97
INPP4B,4.94,3.02,3.37
IQGAP1,92.37,125.88,134.9
SOCS2,1133.97,963.71,1354.99
CFLAR,144.16,168.32,110.08
CDK5R1,136.27,139.34,131.89
ST3GAL5,187.01,176.79,193.28
IER3,264.39,206.76,243.56
SQSTM1,406.52,311.17,339.04
SLC5A6,544.64,352.19,465.87
CPNE3,121.39,117.39,140.72
CCNA1,104.3,108.81,110.95
TIMELESS,1469.39,1345.25,873.8
P4HA2,5.36,5.26,6.03
PLOD3,263.76,175.53,227.23
NOL3,46.85,88.26,76.52
SLC25A14,20.94,23.31,19.01
MPZL1,202.14,111.67,95.19
MAP7,60.54,87.06,80.34
DNAJA3,72.57,62.26,78.58
USP14,16.76,14.5,14.6
MTA1,231.08,246.15,302.65
PDLIM1,59.03,55.96,58.72
SMC3,151.08,75.09,116.17
PRPF4,736.86,820.33,779.85
CCNB2,353.99,320.86,356.48
CCNE2,56.14,39.59,75.31
SYNGR3,156.45,229.32,136.39
LPAR2,46.84,48.74,87.7
ARHGEF2,311.2,259.62,265.41
ZW10,144.71,290.58,317.87
AURKB,2794.76,2852.16,2348.01
VAPB,7.47,4.96,5.23
NOLC1,47.85,51.46,55.6
UBE2L6,169.5,173.0,150.9
MAPKAPK2,213.04,201.18,98.18
CYTH1,537.6,381.59,444.95
ITGB1BP1,514.69,724.47,915.69
BCL7B,10.81,10.91,10.83
COPB2,11.89,10.35,12.05
ADGRG1,67.21,100.84,79.8
TM9SF2,5.37,3.58,3.81
MAP4K4,23.62,11.21,9.76
HOMER2,132.69,123.08,114.7
SH3BP5,200.33,153.38,202.9
PIGB,43.68,17.12,40.03
PSMF1,263.24,257.16,282.49
SPTLC2,33.46,48.44,81.95
TBPL1,76.25,65.53,53.72
BAG3,34.3,30.16,33.57
POLR1C,514.13,498.3,333.07
SPAG7,37.09,42.31,27.74
FEZ2,193.77,144.84,161.65
IKBKE,42.86,47.53,36.76
MTFR1,109.14,91.96,87.3
HS2ST1,2059.74,1224.15,1114.28
IPO13,106.01,120.71,129.75
VGLL4,15.95,21.19,18.06
NUP93,8.23,6.76,6.58
UBE3C,70.91,78.99,59.21
EDEM1,67.49,51.75,74.14
TRAM2,322.04,299.16,326.73
CEP57,2014.32,1799.83,922.72
KIAA0100,12.1,18.11,20.88
HERPUD1,9.6,10.86,13.42
KIAA0355,134.92,199.53,211.89
USP6NL,52.46,56.69,55.62
CCP110,35.4,30.36,34.4
MLEC,2.58,2.22,2.02
TATDN2,8.51,5.47,6.13
MRPL19,7.96,12.06,11.27
SCRN1,33.73,21.68,29.04
EFCAB14,782.21,913.88,742.97
KEAP1,395.77,655.38,322.87
MELK,49.48,56.0,42.49
PLEKHM1,432.51,363.11,441.24
C2CD5,3.14,2.86,4.99
KIAA0753,406.59,372.83,211.42
C2CD2L,2931.96,3171.3,3320.68
TOMM70,99.67,105.25,137.75
WASHC5,265.48,274.71,393.3
KLHL21,46.82,49.63,48.49
ARNT2,275.23,225.52,226.24
FAM20B,76.56,125.17,79.85
NCAPD2,145.69,119.21,125.02
PAN2,30.61,28.55,17.39
LPGAT1,67.16,62.0,65.72
KIF14,3.13,5.43,4.34
OXSR1,28.24,35.2,21.08
MVP,643.93,318.28,366.38
DMTF1,57.03,71.31,68.11
GNPDA1,9.94,22.44,25.87
HDAC6,21.87,23.81,19.02
PARP2,259.85,176.9,235.73
MAMLD1,42.25,46.79,62.37
DNAJB6,85.86,49.7,33.06
SMC4,9.59,7.56,5.95
ABCC5,240.88,161.14,148.54
ABCB6,243.57,258.99,161.62
DNM1L,133.35,96.81,64.81
TSPAN3,14.29,23.22,25.67
KIF20A,134.85,158.23,162.69
ARL4C,45.17,88.1,45.99
TRAP1,685.28,271.0,222.47
G3BP1,37.41,45.37,64.29
MBNL2,6.3,6.74,7.53
CEBPZ,124.06,170.73,129.78
SLC25A13,7.33,6.02,8.15
SORBS3,57.64,38.03,47.41
RBM6,40.24,60.42,63.42
TXNDC9,216.12,251.21,186.63
TRIM13,494.08,494.57,322.6
TRIB1,40.33,33.67,43.53
MFSD10,408.81,531.31,473.77
SLC35B1,3.49,3.2,4.91
TIMM17B,10.96,13.85,13.67
AKAP8,161.84,280.4,113.8
STUB1,117.75,144.24,96.74
NET1,64.19,94.05,65.4
SMNDC1,65.0,98.5,100.63
PAK4,104.62,97.58,88.1
TNIP1,30.86,24.38,36.0
IKZF1,406.83,712.06,564.1
RXYLT1,298.31,271.84,282.8
HMG20B,58.62,129.35,62.27
MYL9,509.14,366.97,318.77
LYPLA1,5.54,8.26,9.17
PPIE,245.87,275.15,212.68
VAV3,60.04,83.53,80.49
LRRC41,299.11,366.41,341.56
CRTAP,17.48,15.07,20.26
VAT1,133.47,244.58,147.06
STK25,57.7,98.03,72.49
APPBP2,90.83,114.82,129.28
CHERP,595.53,283.7,357.97
HYOU1,556.23,667.28,712.66
RPP38,108.67,133.37,111.46
SLC35A1,612.55,441.89,866.15
DRAP1,27.29,16.16,27.58
PAICS,112.91,61.68,57.44
ST6GALNAC2,84.59,53.49,98.81
STAMBP,27.21,28.89,48.43
NPRL2,715.06,992.41,1094.25
IGF2BP2,37.59,41.91,58.65
YKT6,4426.62,2235.71,1760.28
CGRRF1,120.51,129.78,135.13
RRAGA,113.58,35.26,53.86
GNB5,44.77,33.18,46.3
EBP,340.56,328.5,380.13
CNPY3,165.87,454.56,241.29
YME1L1,11.71,8.91,7.86
TCFL5,165.45,162.63,198.77
KDM5B,106.84,90.85,135.79
POP4,8.82,6.01,11.26
ARPP19,0.9,1.17,0.96
ZNF274,53.14,33.0,53.83
MTHFD2,11.89,20.72,15.32
WASF3,322.08,186.55,346.98
UTP14A,291.37,606.82,422.56
FRS2,12.38,19.07,14.67
CLPX,8.67,5.0,7.48
PGRMC1,15.31,13.42,19.13
MALT1,376.35,339.03,309.64
CPSF4,304.25,187.96,180.78
BLCAP,14.91,13.52,18.18
TCERG1,271.38,217.08,221.42
RNPS1,137.32,147.59,190.27
TOMM34,7.96,5.52,9.02
PDIA5,469.22,348.14,481.56
MLLT11,9.81,9.78,14.21
EBNA1BP2,590.44,298.54,326.25
TMED10,36.83,42.38,46.68
ASCC3,1.73,1.7,2.23
SLC27A3,1137.61,1343.86,1121.94
KIF2C,227.66,291.7,357.91
CCDC85B,34.59,49.91,35.49
TLK2,457.45,499.24,345.57
KDELR2,77.0,51.0,88.76
RAB31,101.6,109.8,127.27
B4GAT1,3.4,4.58,4.71
TENT4A,294.86,174.05,232.21
UBE2C,15.14,18.98,19.02
DUSP14,155.14,138.84,119.09
TOPBP1,107.11,142.3,183.38
PRSS23,79.54,112.99,105.85
PWP1,87.13,72.51,72.01
PKIG,37.19,34.01,20.55
CORO1A,239.82,322.54,288.84
LSM6,3.41,5.07,4.91
PSIP1,325.93,281.57,185.81
SLC2A6,52.66,78.63,91.54
NISCH,20.67,27.04,24.37
CHEK2,231.86,91.39,164.77
PRAF2,97.84,76.74,81.42
POLG2,66.91,68.96,78.14
CHP1,159.52,138.49,89.21
PNKP,480.95,510.14,551.07
ECD,41.64,38.58,40.9
DDX42,32.98,39.91,52.0
TWF2,108.07,112.14,133.69
CASC3,26.66,28.71,42.08
COG2,64.33,131.43,96.04
ATF5,72.25,65.82,53.53
MTF2,168.06,119.43,166.06
PUF60,30.45,21.13,15.6
RAB11FIP2,348.43,459.46,457.64
CLSTN1,122.94,231.17,163.75
FOXJ3,43.81,36.09,64.47
KHDC4,123.24,141.44,138.23
EPN2,230.82,176.24,176.81
SACM1L,382.64,613.29,334.75
ATF6,18.64,15.42,17.36
RPIA,268.85,181.28,193.23
RAB21,24.91,21.38,23.33
SPEN,35.85,32.99,35.15
FBXO21,247.77,272.35,376.76
RBM34,1068.41,1970.82,1255.75
WDTC1,131.08,109.36,194.27
XPO7,19.35,22.74,20.27
TBC1D9B,330.88,466.7,554.11
RRP1B,44.81,45.3,46.85
MYCBP2,364.48,437.18,541.93
CDK19,13.52,14.37,12.85
GPATCH8,9.82,9.54,13.89
MAST2,713.24,974.51,450.15
DCUN1D4,92.63,182.46,92.93
FCHO1,157.85,186.5,255.73
SNX13,265.89,271.03,276.99
ATP11B,272.77,308.59,182.24
JMJD6,5.99,12.07,15.58
RRS1,830.55,846.29,807.53
RRP12,677.99,743.46,1188.58
SYNE2,8.39,11.42,12.8
PDS5A,50.82,63.27,76.39
CAMSAP2,103.7,124.16,167.23
ATMIN,21.53,42.43,19.59
TRIM2,335.18,567.2,389.84
WASHC4,2.18,2.36,3.0
USP22,52.86,49.94,53.97
WDR7,133.09,139.21,214.0
JADE2,31.97,33.09,32.78
ARHGEF12,76.3,91.05,62.86
PPP1R13B,131.5,177.61,208.98
RRP8,154.44,83.18,97.13
NUDCD3,80.87,56.66,107.54
SIRT3,53.14,60.4,64.71
SLC35A3,44.07,41.38,58.73
ICMT,366.87,427.56,303.96
MACF1,13.71,17.42,11.91
SUZ12,41.85,53.18,51.96
KAT6B,255.59,199.69,164.37
NNT,19.84,34.46,42.99
ADAT1,814.54,698.35,439.07
TMEM50A,81.17,109.37,79.09
KLHDC2,135.02,90.57,85.41
ACOT9,25.41,24.38,27.9
SSBP2,1815.29,1863.54,1153.73
NUP62,4.31,4.15,5.2
ARFIP2,6.16,6.75,7.14
LSM5,23.47,19.34,22.55
PLA2G15,210.51,156.92,158.22
CEMIP2,48.52,51.8,83.18
ZNF318,20.61,17.81,20.4
FBXO7,22.19,16.82,20.06
SPDEF,42.08,53.22,22.19
BAMBI,121.79,73.01,84.91
BACE2,30.15,23.42,19.32
COG4,14.66,15.18,18.43
